brand,models
"VIVO
129 devices",V15
"VIVO
129 devices",iQOO
"VIVO
129 devices",V15 Pro
"VIVO
129 devices",Y89
"VIVO
129 devices",NEX Dual Display
"VIVO
129 devices",Y93 (Mediatek)
"VIVO
129 devices",Y93s
"VIVO
129 devices",Y95
"VIVO
129 devices",Z1 Lite
"VIVO
129 devices",Y91i
"VIVO
129 devices",Y93
"VIVO
129 devices",Y91i (India)
"VIVO
129 devices",Y91 (Mediatek)
"VIVO
129 devices",Y91
"VIVO
129 devices",Y81i
"VIVO
129 devices",Z3
"VIVO
129 devices",Z3i
"VIVO
129 devices",Y71i
"VIVO
129 devices",V11i
"VIVO
129 devices",Y97
"VIVO
129 devices",X23
"VIVO
129 devices",V11 (V11 Pro)
"VIVO
129 devices",Y83 Pro
"VIVO
129 devices",V9 6GB
"VIVO
129 devices",Z1i
"VIVO
129 devices",NEX S
"VIVO
129 devices",NEX A
"VIVO
129 devices",Z1
"VIVO
129 devices",Y83
"VIVO
129 devices",Y81
"VIVO
129 devices",X21i
"VIVO
129 devices",Y53i
"VIVO
129 devices",Y71
"VIVO
129 devices",V9 Youth
"VIVO
129 devices",V9
"VIVO
129 devices",X21 UD
"VIVO
129 devices",X21
"VIVO
129 devices",V7
"VIVO
129 devices",X20 Plus
"VIVO
129 devices",X20 Plus UD
"VIVO
129 devices",X20
"VIVO
129 devices",V7+
"VIVO
129 devices",Y65
"VIVO
129 devices",Y69
"VIVO
129 devices",Y53
"VIVO
129 devices",X9s Plus
"VIVO
129 devices",X9s
"VIVO
129 devices",V5s
"VIVO
129 devices",Y25
"VIVO
129 devices",Y55L (vivo 1603)
"VIVO
129 devices",Y55s
"VIVO
129 devices",V5 Lite (vivo 1609)
"VIVO
129 devices",V5 Plus
"VIVO
129 devices",Y67
"VIVO
129 devices",Xplay6
"VIVO
129 devices",X9 Plus
"VIVO
129 devices",X9
"VIVO
129 devices",V5
"VIVO
129 devices",X7 Plus
"VIVO
129 devices",X7
"VIVO
129 devices",V3Max
"VIVO
129 devices",V3
"VIVO
129 devices",X6S Plus
"VIVO
129 devices",X6S
"VIVO
129 devices",Xplay5 Elite
"VIVO
129 devices",Xplay5
"VIVO
129 devices",Y51
"VIVO
129 devices",X6
"VIVO
129 devices",X6Plus
"VIVO
129 devices",Y15S (2015)
"VIVO
129 devices",V1
"VIVO
129 devices",V1 Max
"VIVO
129 devices",Y31
"VIVO
129 devices",Y35
"VIVO
129 devices",Y37
"VIVO
129 devices",X5Max Platinum Edition
"VIVO
129 devices",X5Pro
"VIVO
129 devices",X5Max+
"VIVO
129 devices",X5Max
"VIVO
129 devices",Y11
"VIVO
129 devices",X5
"VIVO
129 devices",Xplay3S
"VIVO
129 devices",Xshot
"VIVO
129 devices",X3S
"VIVO
129 devices",Y28
"VIVO
129 devices",Y27
"VIVO
129 devices",Y22
"VIVO
129 devices",Y15 (2013)
"VIVO
129 devices",Xplay7
"VK MOBILE
31 devices",VK2030
"VK MOBILE
31 devices",VK2200
"VK MOBILE
31 devices",VK7000
"VK MOBILE
31 devices",VK5000
"VK MOBILE
31 devices",VK300
"VK MOBILE
31 devices",VK4000
"VK MOBILE
31 devices",VK4100
"VK MOBILE
31 devices",VK2020
"VK MOBILE
31 devices",VK200
"VK MOBILE
31 devices",VK4500
"VK MOBILE
31 devices",VK3100
"VK MOBILE
31 devices",VK2100
"VK MOBILE
31 devices",VK2010
"VK MOBILE
31 devices",VK1500
"VK MOBILE
31 devices",VK1100
"VK MOBILE
31 devices",VK1020
"VK MOBILE
31 devices",VK1010
"VK MOBILE
31 devices",VK1000
"VK MOBILE
31 devices",VK2000
"VK MOBILE
31 devices",E100
"VK MOBILE
31 devices",VK570
"VK MOBILE
31 devices",VK700
"VK MOBILE
31 devices",VK900
